Time,Name,Azimuth (°),Elevation (°),Slant km,x_East (m),y_North (m),z_Up (m)
2025-07-31 20:23:15,STARLINK-30877,296.97,30.4,1002.6,-770732.1,392159.8,507309.7
2025-07-31 20:23:15,STARLINK-3086,214.91,30.11,1032.5,-511226.3,-732435.9,517972.9
2025-07-31 20:23:18,STARLINK-11490 [DTC],256.96,59.05,416.3,-208554.6,-48311.5,356982.9
2025-07-31 20:23:18,STARLINK-11391 [DTC],322.25,47.02,478.6,-199744.1,257972.6,350135.4
2025-07-31 20:23:18,STARLINK-31922,32.45,67.97,520.4,104721.2,164703.1,482434.4
2025-07-31 20:23:18,STARLINK-31485,77.09,65.98,526.6,208938.4,47879.8,480960.7
2025-07-31 20:23:18,STARLINK-31048,142.09,60.67,540.3,162600.6,-208778.0,471040.6
2025-07-31 20:23:18,STARLINK-31658,263.07,60.77,553.9,-268487.3,-32646.7,483388.7
2025-07-31 20:23:18,STARLINK-6152,290.29,84.58,563.3,-49913.7,18457.0,560748.9
2025-07-31 20:23:18,STARLINK-30562,71.62,54.93,572.7,312286.0,103773.3,468753.8
2025-07-31 20:23:18,STARLINK-11710 [DTC],157.03,34.03,580.3,187663.3,-442840.4,324719.6
2025-07-31 20:23:18,STARLINK-32500,100.12,53.9,589.3,341826.8,-60997.7,476168.0
2025-07-31 20:23:18,STARLINK-31226,355.05,52.78,598.1,-31212.3,360409.5,476284.0
2025-07-31 20:23:18,STARLINK-2147,210.11,64.13,603.5,-132105.8,-227828.5,542969.9
2025-07-31 20:23:18,STARLINK-31571,20.96,51.36,608.3,135901.3,354715.3,475083.1
2025-07-31 20:23:18,STARLINK-32472,106.44,49.15,624.8,391938.5,-115676.5,472635.9
2025-07-31 20:23:18,STARLINK-30496,70.67,62.03,628.0,277966.1,97500.0,554598.8
2025-07-31 20:23:18,STARLINK-32581,46.67,65.76,628.2,187622.8,176985.0,572753.9
2025-07-31 20:23:18,STARLINK-33734,301.46,46.6,636.9,-373282.7,228352.9,462770.3
2025-07-31 20:23:18,STARLINK-5586,339.37,59.8,640.8,-113536.6,301626.5,553817.3
2025-07-31 20:23:18,STARLINK-31455,288.9,46.92,645.1,-416883.7,142748.6,471165.9
2025-07-31 20:23:18,STARLINK-33546,164.86,46.17,650.6,117722.3,-434944.8,469338.2
2025-07-31 20:23:18,STARLINK-4269,66.31,52.06,670.8,377713.4,165719.5,529025.4
2025-07-31 20:23:18,STARLINK-32647,282.61,44.08,672.2,-471211.9,105451.9,467623.6
2025-07-31 20:23:18,STARLINK-1470,10.4,49.43,680.4,79881.1,435247.3,516784.0
2025-07-31 20:23:18,STARLINK-30102,191.87,52.0,693.9,-87858.2,-418084.0,546843.7
2025-07-31 20:23:18,STARLINK-30842,124.45,51.56,697.9,357759.4,-245401.4,546658.6
2025-07-31 20:23:18,STARLINK-5676,255.79,51.41,699.4,-422868.6,-107117.5,546676.7
2025-07-31 20:23:18,STARLINK-5664,302.97,51.42,700.1,-366212.9,237571.8,547286.1
2025-07-31 20:23:18,STARLINK-2498,329.65,46.75,729.2,-252441.6,431147.9,531163.0
2025-07-31 20:23:18,STARLINK-30474,46.46,47.94,732.7,355779.1,338125.3,543966.7
2025-07-31 20:23:18,STARLINK-3665,216.06,44.25,744.9,-314044.1,-431330.4,519779.6
2025-07-31 20:23:18,STARLINK-4190,287.42,43.93,749.9,-515317.5,161639.0,520219.2
2025-07-31 20:23:18,STARLINK-3044,150.61,43.15,757.6,271253.0,-481642.2,518133.5
2025-07-31 20:23:18,STARLINK-30190,56.0,38.33,759.8,494140.5,333324.9,471169.5
2025-07-31 20:23:18,STARLINK-32533,303.73,35.57,771.1,-521617.5,348309.3,448539.9
2025-07-31 20:23:18,STARLINK-32076,42.46,35.34,774.8,426651.2,466313.5,448216.6
2025-07-31 20:23:18,STARLINK-32433,79.22,35.04,791.4,636512.0,121184.1,454360.0
2025-07-31 20:23:18,STARLINK-5658,52.47,41.21,811.5,484162.6,371946.2,534614.1
2025-07-31 20:23:18,STARLINK-3550,350.1,38.93,816.2,-109169.9,625455.5,512925.4
2025-07-31 20:23:18,STARLINK-32037,208.22,32.14,826.9,-331037.1,-616955.7,439874.0
2025-07-31 20:23:18,STARLINK-30439,72.12,39.88,829.5,605826.9,195460.0,531892.1
2025-07-31 20:23:18,STARLINK-3779,4.17,37.17,843.2,48840.7,670099.3,509451.6
2025-07-31 20:23:18,STARLINK-3778,59.57,36.67,850.4,588127.4,345428.3,507912.9
2025-07-31 20:23:18,STARLINK-33691,294.14,31.57,853.6,-663687.4,297387.0,446917.0
2025-07-31 20:23:18,STARLINK-6163,107.26,38.09,855.6,643099.1,-199859.2,527801.1
2025-07-31 20:23:18,STARLINK-3098,93.73,34.72,882.5,723847.6,-47152.1,502653.1
2025-07-31 20:23:18,STARLINK-30186,210.34,35.93,889.7,-363926.1,-621705.3,522086.5
2025-07-31 20:23:18,STARLINK-2536,163.98,34.75,891.8,202165.6,-704283.5,508323.5
2025-07-31 20:23:18,STARLINK-6108,259.96,34.55,916.0,-742940.0,-131505.7,519462.3
2025-07-31 20:23:18,STARLINK-30036,288.21,33.74,932.4,-736569.0,242342.9,517857.6
2025-07-31 20:23:18,STARLINK-3838,236.85,31.13,952.0,-682303.5,-445590.6,492102.0
2025-07-31 20:23:18,STARLINK-4552,16.2,30.28,973.7,234527.6,807490.4,491052.3
2025-07-31 20:23:18,STARLINK-30877,297.4,31.13,986.3,-749550.2,388488.3,509849.0
2025-07-31 20:23:18,STARLINK-3086,215.18,30.86,1015.3,-502153.6,-712332.5,520787.0
2025-07-31 20:23:21,STARLINK-11490 [DTC],259.87,61.47,407.0,-191390.7,-34212.2,357602.6
2025-07-31 20:23:21,STARLINK-11391 [DTC],325.74,47.96,472.1,-177982.3,261304.0,350626.4
2025-07-31 20:23:21,STARLINK-31922,36.46,66.29,526.4,125791.1,170221.6,481955.9
2025-07-31 20:23:21,STARLINK-31485,79.66,64.06,534.1,229888.1,41924.1,480320.1
2025-07-31 20:23:21,STARLINK-31658,263.98,62.78,544.5,-247723.5,-26138.8,484211.5
2025-07-31 20:23:21,STARLINK-31048,141.26,58.66,550.4,179146.7,-223267.1,470146.6
2025-07-31 20:23:21,STARLINK-6152,291.61,86.78,561.8,-29368.8,11632.1,560868.4
2025-07-31 20:23:21,STARLINK-11710 [DTC],154.41,34.11,579.3,207191.3,-432612.9,324838.2
2025-07-31 20:23:21,STARLINK-30562,70.19,53.24,583.8,328686.9,118417.6,467772.8
2025-07-31 20:23:21,STARLINK-2147,208.47,65.94,595.5,-115702.9,-213367.5,543748.5
2025-07-31 20:23:21,STARLINK-31226,358.49,52.97,596.8,-9458.7,359278.8,476406.4
2025-07-31 20:23:21,STARLINK-32500,98.29,52.41,599.7,361960.2,-52726.3,475219.6
2025-07-31 20:23:21,STARLINK-31571,23.85,50.6,614.1,157603.7,356515.7,474528.5
